m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M100/12,Long-finned pilot whale,Pelagic Dolphins,02/04/2012,4,2012,58.48200989,-3.121515274,M,adult
M101/12,Harbour porpoise,Harbour porpoise,02/04/2012,4,2012,57.15661621,-2.079316616,M,juvenile
M98/12,Minke whale,Baleen Whales,03/04/2012,4,2012,56.05939865,-2.719388723,M,juvenile
M103/12,Harbour porpoise,Harbour porpoise,05/04/2012,4,2012,56.54982758,-6.759756565,U,unknown
M104/12,Bottlenose dolphin,Pelagic Dolphins,05/04/2012,4,2012,56.54982758,-6.759756565,U,unknown
M105/12,Baleen whale (indeterminate species),Baleen Whales,05/04/2012,4,2012,56.6602478,-6.549906254,U,unknown
M102/12,Harbour porpoise,Harbour porpoise,09/04/2012,4,2012,56.20318985,-2.976756334,M,juvenile
M107/12,Harbour porpoise,Harbour porpoise,13/04/2012,4,2012,57.70024872,-3.494932413,M,adult
M108/12,Harbour porpoise,Harbour porpoise,13/04/2012,4,2012,55.65259171,-5.67022419,U,unknown
M434/12,Striped dolphin,Pelagic Dolphins,14/04/2012,4,2012,59.10044861,-3.351159096,U,juvenile
M109/12,Harbour porpoise,Harbour porpoise,15/04/2012,4,2012,57.51089478,-4.363655567,M,juvenile
M110/12,Harbour porpoise,Harbour porpoise,16/04/2012,4,2012,57.66296005,-3.605707645,F,juvenile
M111/12,Harbour porpoise,Harbour porpoise,17/04/2012,4,2012,56.52885437,-2.635591269,U,unknown
M113/12,Harbour porpoise,Harbour porpoise,25/04/2012,4,2012,56.01589966,-3.613708496,U,unknown
M114/12,Harbour porpoise,Harbour porpoise,28/04/2012,4,2012,57.67473221,-3.091446877,U,unknown
M115/12,Harbour porpoise,Harbour porpoise,30/04/2012,4,2012,57.68442154,-2.74624753,F,adult
M116/12,Harbour porpoise,Harbour porpoise,01/05/2012,5,2012,56.77059555,-2.404079676,U,unknown
M119/12,Harbour porpoise,Harbour porpoise,03/05/2012,5,2012,57.14314651,-2.072665453,M,juvenile
M120/12,Harbour porpoise,Harbour porpoise,04/05/2012,5,2012,57.68800735,-4.157060146,F,juvenile
M125/12,Risso's dolphin,Pelagic Dolphins,10/05/2012,5,2012,60.58124924,-1.189683557,U,unknown
M126/12,Harbour porpoise,Harbour porpoise,10/05/2012,5,2012,56.72644043,-2.442822456,U,unknown
M433/12,Long-finned pilot whale,Pelagic Dolphins,13/05/2012,5,2012,59.2589035,-2.890885592,U,unknown
M140/12,Sperm whale,Deep Divers,17/05/2012,5,2012,57.8842659,-7.007773399,U,unknown
M133/12,Sperm whale,Deep Divers,18/05/2012,5,2012,57.55610657,-7.436305046,M,juvenile
M134/12,Harbour porpoise,Harbour porpoise,20/05/2012,5,2012,55.47507477,-5.712269306,U,unknown
M145/12,Harbour porpoise,Harbour porpoise,05/06/2012,6,2012,56.35622787,-2.810733795,F,juvenile
M143/12,Killer whale,Pelagic Dolphins,10/06/2012,6,2012,58.62090683,-3.651153564,F,adult
M150/12,Harbour porpoise,Harbour porpoise,10/06/2012,6,2012,58.49092865,-3.128661156,M,adult
M154/12,Harbour porpoise,Harbour porpoise,13/06/2012,6,2012,57.1503334,-2.075995922,F,neonate
M157/12,Harbour porpoise,Harbour porpoise,13/06/2012,6,2012,57.67088699,-2.343621969,F,adult
M161/12,Harbour porpoise,Harbour porpoise,15/06/2012,6,2012,56.77148819,-2.404081821,U,unknown
M167/12,Short-beaked common dolphin,Common Dolphin,18/06/2012,6,2012,57.25276947,-5.859572887,U,unknown
M168/12,Northern bottlenose whale,Deep Divers,18/06/2012,6,2012,57.66550827,-3.012392282,U,unknown
M184/12,Cuvier's beaked whale,Deep Divers,20/06/2012,6,2012,56.29057312,-6.374806404,U,unknown
M189/12,Short-beaked common dolphin,Common Dolphin,20/06/2012,6,2012,57.25087738,-5.862692356,F,unknown
M173/12,Harbour porpoise,Harbour porpoise,25/06/2012,6,2012,55.637611,-5.1388102,M,neonate
M178/12,Humpback whale,Baleen Whales,29/06/2012,6,2012,56.5904808,-2.521015882,U,unknown
M180/12,White-beaked dolphin,Pelagic Dolphins,01/07/2012,7,2012,58.35424423,-6.199872494,U,unknown
M181/12,Harbour porpoise,Harbour porpoise,02/07/2012,7,2012,57.41167068,-1.853480816,U,unknown
M183/12,Minke whale,Baleen Whales,03/07/2012,7,2012,57.65729523,-6.035011292,U,unknown
M194/12,Harbour porpoise,Harbour porpoise,09/07/2012,7,2012,57.66950226,-3.512102127,U,unknown
M198/12,White-beaked dolphin,Pelagic Dolphins,11/07/2012,7,2012,57.66908264,-2.348642111,F,juvenile
M211/12,White-beaked dolphin,Pelagic Dolphins,16/07/2012,7,2012,59.00938416,-3.103800297,U,unknown
M201/12,Minke whale,Baleen Whales,17/07/2012,7,2012,58.22086716,-6.770454884,U,unknown
M222/12,Atlantic white-sided dolphin,Pelagic Dolphins,20/07/2012,7,2012,56.76477051,-6.02215004,U,unknown
M226/12,Harbour porpoise,Harbour porpoise,21/07/2012,7,2012,57.7170105,-3.277383804,F,adult
M236/12,Minke whale,Baleen Whales,28/07/2012,7,2012,55.88021088,-4.890399456,F,unknown
M425/12,Minke whale,Baleen Whales,01/08/2012,8,2012,57.45378876,-6.015866756,U,unknown
M428/12,Long-finned pilot whale,Pelagic Dolphins,01/08/2012,8,2012,56.48112106,-6.429255962,U,unknown
M267/12,Baleen whale (indeterminate species),Baleen Whales,05/08/2012,8,2012,56.35317993,-6.534268379,U,unknown
M245/12,Risso's dolphin,Pelagic Dolphins,06/08/2012,8,2012,58.41823959,-6.461173058,M,adult
M246/12,Long-finned pilot whale,Pelagic Dolphins,07/08/2012,8,2012,57.63586426,-3.751921654,M,unknown
M244/12,Bottlenose dolphin,Pelagic Dolphins,08/08/2012,8,2012,56.60538483,-6.323139191,U,unknown
M266/12,Minke whale,Baleen Whales,08/08/2012,8,2012,57.063591,-7.278192043,M,unknown
M251/12,Bottlenose dolphin,Pelagic Dolphins,12/08/2012,8,2012,57.58575439,-3.923491955,F,neonate
M261/12,Harbour porpoise,Harbour porpoise,14/08/2012,8,2012,56.35174942,-2.809021711,F,neonate
M260/12,Harbour porpoise,Harbour porpoise,16/08/2012,8,2012,56.5424118,-2.619561434,F,juvenile
M276/12,Baleen whale (indeterminate species),Baleen Whales,22/08/2012,8,2012,58.08597946,-5.838908195,U,unknown
M274/12,Harbour porpoise,Harbour porpoise,26/08/2012,8,2012,56.3024025,-2.643142462,U,unknown
M273/12,Minke whale,Baleen Whales,27/08/2012,8,2012,58.4908905,-6.228211403,M,unknown
M432/12,White-beaked dolphin,Pelagic Dolphins,28/08/2012,8,2012,58.91471863,-2.784764767,U,unknown
M305/12,Minke whale,Baleen Whales,01/09/2012,9,2012,56.61489105,-2.482252359,U,unknown
M281/12,Long-finned pilot whale,Pelagic Dolphins,03/09/2012,9,2012,55.98933029,-3.18295455,F,adult
M288/12,Long-finned pilot whale,Pelagic Dolphins,08/09/2012,9,2012,56.21483612,-2.719076872,F,juvenile
M295/12,Long-finned pilot whale,Pelagic Dolphins,10/09/2012,9,2012,55.97970963,-3.155421495,F,adult
M299/12,Minke whale,Baleen Whales,12/09/2012,9,2012,57.86229324,-6.99458456,U,unknown
M417/12,Baleen whale (indeterminate species),Baleen Whales,13/09/2012,9,2012,56.57896042,-6.281003475,U,unknown
M306/12,Harbour porpoise,Harbour porpoise,21/09/2012,9,2012,56.05787277,-2.820531845,U,unknown
M314/12,Harbour porpoise,Harbour porpoise,25/09/2012,9,2012,56.2775383,-2.586202621,F,neonate
M329/12,Risso's dolphin,Pelagic Dolphins,26/09/2012,9,2012,57.59578705,-1.827655196,U,unknown
M315/12,Harbour porpoise,Harbour porpoise,28/09/2012,9,2012,57.57042313,-4.041405201,U,unknown
M318/12,White-beaked dolphin,Pelagic Dolphins,01/10/2012,10,2012,57.51470566,-4.150165558,F,adult
M319/12,Harbour porpoise,Harbour porpoise,02/10/2012,10,2012,56.46642303,-2.858538866,U,unknown
M320/12,Short-beaked common dolphin,Common Dolphin,05/10/2012,10,2012,59.09503937,-3.352678061,F,unknown
M328/12,Long-finned pilot whale,Pelagic Dolphins,08/10/2012,10,2012,57.89981079,-6.815621376,F,neonate
M332/12,Short-beaked common dolphin,Common Dolphin,12/10/2012,10,2012,57.86288834,-6.979467392,U,unknown
M333/12,Atlantic white-sided dolphin,Pelagic Dolphins,16/10/2012,10,2012,58.43619156,-6.41027689,F,adult
M334/12,Harbour porpoise,Harbour porpoise,18/10/2012,10,2012,57.29857254,-1.998299718,U,unknown
M335/12,Harbour porpoise,Harbour porpoise,18/10/2012,10,2012,57.27521515,-2.018206596,U,unknown
M337/12,Northern bottlenose whale,Deep Divers,20/10/2012,10,2012,57.68407822,-2.64563179,F,juvenile
M341/12,Striped dolphin,Pelagic Dolphins,25/10/2012,10,2012,58.96191025,-2.977096319,M,juvenile
M353/12,Striped dolphin,Pelagic Dolphins,26/10/2012,10,2012,59.30212021,-2.544310808,U,unknown
M350/12,White-beaked dolphin,Pelagic Dolphins,05/11/2012,11,2012,56.91582108,-6.160059929,U,unknown
M358/12,Long-finned pilot whale,Pelagic Dolphins,08/11/2012,11,2012,60.53085327,-1.03787744,U,unknown
M363/12,Risso's dolphin,Pelagic Dolphins,12/11/2012,11,2012,60.10161972,-1.325572848,F,juvenile
M375/12,Harbour porpoise,Harbour porpoise,17/11/2012,11,2012,57.36976242,-6.000017643,U,unknown
M380/12,Risso's dolphin,Pelagic Dolphins,19/11/2012,11,2012,56.46914673,-2.853732109,M,adult
M430/12,Short-beaked common dolphin,Common Dolphin,21/11/2012,11,2012,56.88393402,-6.199236393,U,unknown
M388/12,Harbour porpoise,Harbour porpoise,28/11/2012,11,2012,57.66985703,-2.388881683,M,adult
M395/12,Long-finned pilot whale,Pelagic Dolphins,06/12/2012,12,2012,55.9714928,-2.9612932,U,unknown
M410/12,Sperm whale,Deep Divers,20/12/2012,12,2012,57.3610115,-7.4106703,M,adult
M411/12,Harbour porpoise,Harbour porpoise,24/12/2012,12,2012,55.9558411,-3.1130617,U,unknown
M413/12,Harbour porpoise,Harbour porpoise,26/12/2012,12,2012,58.0016136,-3.8712888,M,adult
M419/12,Harbour porpoise,Harbour porpoise,29/12/2012,12,2012,57.1422462,-2.069361,M,juvenile
M420/12,Harbour porpoise,Harbour porpoise,29/12/2012,12,2012,57.0190964,-2.1597223,U,unknown
M6/13,Short-beaked common dolphin,Common Dolphin,07/01/2013,1,2013,55.64055556,-4.7375,M,juvenile
M9/13,Harbour porpoise,Harbour porpoise,10/01/2013,1,2013,57.58611111,-3.913611111,M,juvenile
M10/13,Harbour porpoise,Harbour porpoise,11/01/2013,1,2013,56.06388889,-3.173055556,U,unknown
M11/13,Harbour porpoise,Harbour porpoise,13/01/2013,1,2013,57.58861111,-7.526388889,F,juvenile
M18/13,Harbour porpoise,Harbour porpoise,22/01/2013,1,2013,56.05389786,-3.286105871,M,adult
M19/13,Long-finned pilot whale,Pelagic Dolphins,22/01/2013,1,2013,57.28333333,-2.009722222,M,juvenile
M20/13,Harbour porpoise,Harbour porpoise,23/01/2013,1,2013,57.32583333,-1.97,M,adult
M22/13,Striped dolphin,Pelagic Dolphins,24/01/2013,1,2013,58.47944444,-4.726666667,U,juvenile
M23/13,Harbour porpoise,Harbour porpoise,25/01/2013,1,2013,58.47027778,-4.7375,U,unknown
M24/13,Harbour porpoise,Harbour porpoise,26/01/2013,1,2013,56.209759,-2.9541135,U,unknown
M25/13,Harbour porpoise,Harbour porpoise,26/01/2013,1,2013,57.32611111,-1.969722222,M,juvenile
M32/13,Harbour porpoise,Harbour porpoise,29/01/2013,1,2013,56.0625,-3.181111111,U,unknown
M30/13,Striped dolphin,Pelagic Dolphins,01/02/2013,2,2013,57.35305556,-6.406666667,F,juvenile
M40/13,Long-finned pilot whale,Pelagic Dolphins,09/02/2013,2,2013,57.4777565,-7.374505997,U,unknown
M33/13,Harbour porpoise,Harbour porpoise,11/02/2013,2,2013,56.06333333,-3.181111111,U,unknown
M36/13,Harbour porpoise,Harbour porpoise,17/02/2013,2,2013,56.05472222,-4.905833333,U,unknown
M37/13,Fin whale,Baleen Whales,17/02/2013,2,2013,54.87416667,-4.3775,M,juvenile
M39/13,Harbour porpoise,Harbour porpoise,19/02/2013,2,2013,58.42583333,-4.990277778,M,adult
M44/13,Harbour porpoise,Harbour porpoise,24/02/2013,2,2013,56.55916667,-2.568611111,U,unknown
M46/13,Harbour porpoise,Harbour porpoise,25/02/2013,2,2013,55.9525,-3.009722222,U,unknown
M50/13,Harbour porpoise,Harbour porpoise,27/02/2013,2,2013,56.06333333,-3.184444444,U,unknown
M51/13,Harbour porpoise,Harbour porpoise,01/03/2013,3,2013,56.72333333,-2.443611111,U,unknown
M52/13,Harbour porpoise,Harbour porpoise,01/03/2013,3,2013,56.79444444,-2.328333333,U,unknown
M53/13,Harbour porpoise,Harbour porpoise,02/03/2013,3,2013,57.15611111,-2.078611111,F,neonate
M54/13,White-beaked dolphin,Pelagic Dolphins,06/03/2013,3,2013,57.72277778,-3.28,M,juvenile
M57/13,Harbour porpoise,Harbour porpoise,07/03/2013,3,2013,56.96916667,-2.204722222,U,unknown
M56/13,Harbour porpoise,Harbour porpoise,11/03/2013,3,2013,57.90305556,-3.995277778,M,juvenile
M55/13,Harbour porpoise,Harbour porpoise,12/03/2013,3,2013,56.3544426,-2.809088945,F,juvenile
M58/13,Harbour porpoise,Harbour porpoise,13/03/2013,3,2013,56.51555556,-2.665555556,U,unknown
M61/13,Harbour porpoise,Harbour porpoise,13/03/2013,3,2013,57.68333333,-2.685,U,unknown
M62/13,Harbour porpoise,Harbour porpoise,13/03/2013,3,2013,54.76916667,-4.5875,U,unknown
M60/13,Harbour porpoise,Harbour porpoise,14/03/2013,3,2013,57.6625,-3.598055556,M,adult
M63/13,Harbour porpoise,Harbour porpoise,19/03/2013,3,2013,55.96291733,-2.398819208,F,juvenile
M64/13,Harbour porpoise,Harbour porpoise,20/03/2013,3,2013,57.1625,-2.078611111,U,unknown
M65/13,Harbour porpoise,Harbour porpoise,22/03/2013,3,2013,56.06333333,-3.1875,U,unknown
M66/13,Harbour porpoise,Harbour porpoise,22/03/2013,3,2013,56.01638889,-3.616111111,F,juvenile
M67/13,Harbour porpoise,Harbour porpoise,22/03/2013,3,2013,56.05416667,-3.286944444,U,unknown
M68/13,Harbour porpoise,Harbour porpoise,22/03/2013,3,2013,55.95805556,-3.115555556,U,unknown
M69/13,Harbour porpoise,Harbour porpoise,23/03/2013,3,2013,57.62944444,-1.870277778,U,unknown
M70/13,Harbour porpoise,Harbour porpoise,24/03/2013,3,2013,56.49555556,-2.715555556,U,unknown
M71/13,Harbour porpoise,Harbour porpoise,24/03/2013,3,2013,57.75333333,-3.913055556,U,unknown
M72/13,Harbour porpoise,Harbour porpoise,25/03/2013,3,2013,57.70027778,-4.138611111,M,juvenile
M73/13,Harbour porpoise,Harbour porpoise,26/03/2013,3,2013,57.71972222,-3.385833333,U,unknown
M74/13,Harbour porpoise,Harbour porpoise,27/03/2013,3,2013,56.34907913,-2.805728436,F,juvenile
M75/13,Harbour porpoise,Harbour porpoise,27/03/2013,3,2013,57.21805556,-2.057222222,U,unknown
M76/13,Harbour porpoise,Harbour porpoise,27/03/2013,3,2013,57.21805556,-2.058888889,U,unknown
M80/13,Harbour porpoise,Harbour porpoise,27/03/2013,3,2013,56.35305556,-2.808333333,F,juvenile
M81/13,Harbour porpoise,Harbour porpoise,28/03/2013,3,2013,57.90260315,-4.001146317,M,juvenile
M86/13,Harbour porpoise,Harbour porpoise,28/03/2013,3,2013,55.98074341,-2.440681219,F,juvenile
M91/13,Harbour porpoise,Harbour porpoise,03/04/2013,4,2013,56.06333333,-3.182777778,M,unknown
M92/13,Harbour porpoise,Harbour porpoise,03/04/2013,4,2013,56.10638889,-3.796666667,M,juvenile
M94/13,Harbour porpoise,Harbour porpoise,05/04/2013,4,2013,56.06333333,-3.195555556,U,unknown
M97/13,Harbour porpoise,Harbour porpoise,10/04/2013,4,2013,57.68222222,-4.033333333,F,juvenile
M99/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,56.44777778,-2.875277778,U,unknown
M100/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,57.255,-2.033888889,U,unknown
M101/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,57.25305556,-2.035555556,U,unknown
M103/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,56.12166667,-3.850555556,U,unknown
M106/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,57.15333333,-2.076944444,U,unknown
M109/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,56.12166667,-3.850555556,U,unknown
M110/13,Harbour porpoise,Harbour porpoise,12/04/2013,4,2013,55.99027778,-3.396944444,U,unknown
M108/13,Harbour porpoise,Harbour porpoise,13/04/2013,4,2013,56.71861111,-2.446944444,U,unknown
M116/13,Harbour porpoise,Harbour porpoise,13/04/2013,4,2013,56.51472222,-2.665555556,U,unknown
M111/13,Harbour porpoise,Harbour porpoise,14/04/2013,4,2013,57.14166667,-2.065277778,U,unknown
M112/13,Harbour porpoise,Harbour porpoise,14/04/2013,4,2013,57.15694444,-2.076944444,M,juvenile
M98/13,Harbour porpoise,Harbour porpoise,16/04/2013,4,2013,55.9025,-5.238333333,U,unknown
M119/13,Striped dolphin,Pelagic Dolphins,17/04/2013,4,2013,60.20497513,-1.182742953,M,juvenile
M120/13,Harbour porpoise,Harbour porpoise,18/04/2013,4,2013,57.65843964,-4.151965141,M,juvenile
M129/13,Harbour porpoise,Harbour porpoise,18/04/2013,4,2013,57.14166667,-2.053611111,M,adult
M136/13,Bottlenose dolphin,Pelagic Dolphins,18/04/2013,4,2013,56.07277778,-6.180277778,U,unknown
M121/13,Harbour porpoise,Harbour porpoise,19/04/2013,4,2013,57.58944444,-3.889444444,F,juvenile
M122/13,White-beaked dolphin,Pelagic Dolphins,20/04/2013,4,2013,57.40388889,-6.492777778,F,adult
M124/13,Harbour porpoise,Harbour porpoise,20/04/2013,4,2013,57.68666667,-2.747222222,U,unknown
M125/13,Harbour porpoise,Harbour porpoise,20/04/2013,4,2013,57.67055556,-2.527222222,M,adult
M128/13,Harbour porpoise,Harbour porpoise,20/04/2013,4,2013,57.20722222,-2.061944444,U,unknown
M225/13,Harbour porpoise,Harbour porpoise,20/04/2013,4,2013,57.19555556,-2.068611111,U,unknown
M123/13,Harbour porpoise,Harbour porpoise,21/04/2013,4,2013,57.56666667,-4.169166667,F,juvenile
M126/13,White-beaked dolphin,Pelagic Dolphins,21/04/2013,4,2013,58.28805556,-6.281666667,U,unknown
M140/13,Harbour porpoise,Harbour porpoise,22/04/2013,4,2013,56.07194444,-6.181944444,U,unknown
M133/13,Bottlenose dolphin,Pelagic Dolphins,23/04/2013,4,2013,56.02361111,-5.569722222,M,adult
M134/13,Harbour porpoise,Harbour porpoise,24/04/2013,4,2013,57.68222222,-2.740277778,U,unknown
M144/13,Harbour porpoise,Harbour porpoise,24/04/2013,4,2013,56.33485794,-2.781172991,M,juvenile
M135/13,Minke whale,Baleen Whales,26/04/2013,4,2013,57.349681,-1.9285304,U,unknown
M137/13,Harbour porpoise,Harbour porpoise,26/04/2013,4,2013,57.09583333,-2.078333333,U,unknown
M139/13,Harbour porpoise,Harbour porpoise,27/04/2013,4,2013,57.30611111,-1.990833333,U,unknown
M308/13,Harbour porpoise,Harbour porpoise,28/04/2013,4,2013,55.4575,-5.713333333,U,unknown
M142/13,Harbour porpoise,Harbour porpoise,01/05/2013,5,2013,56.01833333,-2.862222222,U,unknown
M146/13,Sperm whale,Deep Divers,03/05/2013,5,2013,60.63861111,-0.980833333,U,unknown
M147/13,Harbour porpoise,Harbour porpoise,03/05/2013,5,2013,57.45611111,-7.403888889,U,unknown
M149/13,White-beaked dolphin,Pelagic Dolphins,05/05/2013,5,2013,57.81138889,-8.568888889,U,unknown
M148/13,White-beaked dolphin,Pelagic Dolphins,06/05/2013,5,2013,56.49027778,-6.866666667,U,unknown
M150/13,Harbour porpoise,Harbour porpoise,06/05/2013,5,2013,57.58833333,-3.896111111,U,unknown
M152/13,Harbour porpoise,Harbour porpoise,08/05/2013,5,2013,55.99944444,-3.361944444,U,unknown
M153/13,Harbour porpoise,Harbour porpoise,09/05/2013,5,2013,57.38305556,-6.125555556,U,unknown
M154/13,Harbour porpoise,Harbour porpoise,11/05/2013,5,2013,57.68388889,-2.747222222,U,unknown
M155/13,Harbour porpoise,Harbour porpoise,12/05/2013,5,2013,56.51555556,-2.665555556,U,unknown
M156/13,Striped dolphin,Pelagic Dolphins,12/05/2013,5,2013,60.17944444,-1.088888889,U,unknown
M157/13,Harbour porpoise,Harbour porpoise,13/05/2013,5,2013,55.55055556,-4.659166667,F,unknown
M117/13,Harbour porpoise,Harbour porpoise,14/05/2013,5,2013,56.63861111,-2.504444444,U,unknown
M166/13,Harbour porpoise,Harbour porpoise,17/05/2013,5,2013,55.96638889,-4.678055556,U,unknown
M202/13,Harbour porpoise,Harbour porpoise,17/05/2013,5,2013,58.12805556,-6.372222222,U,unknown
M162/13,Harbour porpoise,Harbour porpoise,21/05/2013,5,2013,57.72555556,-3.354166667,U,unknown
M164/13,Harbour porpoise,Harbour porpoise,22/05/2013,5,2013,57.7025,-3.484166667,M,unknown
M163/13,Harbour porpoise,Harbour porpoise,23/05/2013,5,2013,57.58833333,-3.891111111,U,unknown
M165/13,Minke whale,Baleen Whales,23/05/2013,5,2013,57.86527778,-5.520833333,M,adult
M168/13,Harbour porpoise,Harbour porpoise,24/05/2013,5,2013,57.16138889,-2.078611111,U,unknown
M179/13,Long-finned pilot whale,Pelagic Dolphins,24/05/2013,5,2013,57.15416667,-7.353055556,U,unknown
M169/13,Harbour porpoise,Harbour porpoise,25/05/2013,5,2013,55.51888889,-4.631666667,U,unknown
M175/13,Harbour porpoise,Harbour porpoise,25/05/2013,5,2013,57.63833333,-1.888611111,M,unknown
M170/13,Harbour porpoise,Harbour porpoise,26/05/2013,5,2013,57.13555556,-2.056944444,M,unknown
M171/13,Harbour porpoise,Harbour porpoise,26/05/2013,5,2013,57.72083333,-3.301944444,M,unknown
M172/13,Harbour porpoise,Harbour porpoise,26/05/2013,5,2013,57.72138889,-3.313611111,U,unknown
M177/13,Risso's dolphin,Pelagic Dolphins,28/05/2013,5,2013,57.30083333,-7.3925,U,unknown
M183/13,Harbour porpoise,Harbour porpoise,01/06/2013,6,2013,54.90638889,-5.025277778,F,unknown
M186/13,Sperm whale,Deep Divers,02/06/2013,6,2013,55.67916667,-6.270277778,U,unknown
M233/13,Harbour porpoise,Harbour porpoise,03/06/2013,6,2013,56.71861111,-2.446944444,U,unknown
M189/13,Harbour porpoise,Harbour porpoise,04/06/2013,6,2013,57.56744003,-4.166650772,U,unknown
M190/13,Harbour porpoise,Harbour porpoise,04/06/2013,6,2013,57.69888889,-2.906666667,U,unknown
M232/13,Harbour porpoise,Harbour porpoise,06/06/2013,6,2013,57.71305556,-3.264722222,U,unknown
M192/13,Harbour porpoise,Harbour porpoise,07/06/2013,6,2013,57.66888889,-3.980555556,M,juvenile
M193/13,Harbour porpoise,Harbour porpoise,07/06/2013,6,2013,57.69666667,-2.844722222,U,unknown
M203/13,Harbour porpoise,Harbour porpoise,10/06/2013,6,2013,57.04,-5.711111111,M,neonate
M199/13,Sowerby's beaked whale,Deep Divers,13/06/2013,6,2013,58.48444444,-5.114166667,M,juvenile
M285/13,Short-beaked common dolphin,Common Dolphin,13/06/2013,6,2013,56.35756683,-6.179977417,U,unknown
M201/13,Harbour porpoise,Harbour porpoise,14/06/2013,6,2013,57.57527778,-4.045833333,F,juvenile
M206/13,Harbour porpoise,Harbour porpoise,17/06/2013,6,2013,55.58361111,-4.667222222,U,unknown
M207/13,Harbour porpoise,Harbour porpoise,19/06/2013,6,2013,57.5825,-4.060833333,U,unknown
M213/13,Long-finned pilot whale,Pelagic Dolphins,22/06/2013,6,2013,59.89888889,-1.331666667,U,unknown
M212/13,Harbour porpoise,Harbour porpoise,26/06/2013,6,2013,55.52805556,-4.733611111,U,unknown
M220/13,Risso's dolphin,Pelagic Dolphins,27/06/2013,6,2013,57.91611111,-6.576388889,U,unknown
M222/13,Harbour porpoise,Harbour porpoise,27/06/2013,6,2013,57.91611111,-6.576111111,U,unknown
M223/13,Harbour porpoise,Harbour porpoise,04/07/2013,7,2013,55.75166667,-4.950277778,U,unknown
M286/13,White-beaked dolphin,Pelagic Dolphins,05/07/2013,7,2013,56.52518082,-6.792475224,U,unknown
M224/13,Harbour porpoise,Harbour porpoise,07/07/2013,7,2013,57.27111111,-2.020833333,F,adult
M226/13,Minke whale,Baleen Whales,09/07/2013,7,2013,58.59694444,-3.52,F,adult
M236/13,Long-finned pilot whale,Pelagic Dolphins,17/07/2013,7,2013,60.18277778,-1.5125,U,unknown
M244/13,Harbour porpoise,Harbour porpoise,24/07/2013,7,2013,55.96583333,-3.131666667,F,juvenile
M250/13,White-beaked dolphin,Pelagic Dolphins,28/07/2013,7,2013,58.49055556,-6.226388889,M,juvenile
M256/13,Harbour porpoise,Harbour porpoise,28/07/2013,7,2013,57.58638889,-3.935277778,U,unknown
M253/13,Short-beaked common dolphin,Common Dolphin,29/07/2013,7,2013,57.69027778,-3.973055556,F,adult
M254/13,Harbour porpoise,Harbour porpoise,29/07/2013,7,2013,54.83694444,-4.260555556,U,unknown
M257/13,Harbour porpoise,Harbour porpoise,01/08/2013,8,2013,56.21166667,-2.941388889,U,unknown
M260/13,Atlantic white-sided dolphin,Pelagic Dolphins,01/08/2013,8,2013,60.20972222,-1.3725,M,adult
M261/13,Atlantic white-sided dolphin,Pelagic Dolphins,03/08/2013,8,2013,60.68777778,-0.8475,U,unknown
M259/13,Harbour porpoise,Harbour porpoise,05/08/2013,8,2013,54.83638889,-4.2625,U,unknown
M262/13,Atlantic white-sided dolphin,Pelagic Dolphins,05/08/2013,8,2013,60.17666667,-1.452777778,M,adult
M265/13,Harbour porpoise,Harbour porpoise,10/08/2013,8,2013,55.50149918,-4.621837139,F,adult
M267/13,Long-finned pilot whale,Pelagic Dolphins,14/08/2013,8,2013,60.59082794,-0.897341907,U,unknown
M269/13,Striped dolphin,Pelagic Dolphins,14/08/2013,8,2013,57.402565,-6.493426323,M,juvenile
M404/13,White-beaked dolphin,Pelagic Dolphins,14/08/2013,8,2013,58.94937134,-2.971532106,U,unknown
M270/13,Harbour porpoise,Harbour porpoise,16/08/2013,8,2013,56.47327423,-2.772652626,F,juvenile
M272/13,Striped dolphin,Pelagic Dolphins,19/08/2013,8,2013,57.25592041,-7.426760674,U,juvenile
M278/13,Long-finned pilot whale,Pelagic Dolphins,19/08/2013,8,2013,59.13474655,-3.33503294,U,unknown
M276/13,Short-beaked common dolphin,Common Dolphin,23/08/2013,8,2013,57.19966888,-6.004771233,U,unknown
M283/13,Harbour porpoise,Harbour porpoise,02/09/2013,9,2013,55.4632988,-4.643033981,U,unknown
M284/13,Harbour porpoise,Harbour porpoise,02/09/2013,9,2013,55.46419144,-4.643102646,U,unknown
M288/13,Long-finned pilot whale,Pelagic Dolphins,03/09/2013,9,2013,55.98099899,-3.296501398,M,adult
M290/13,Striped dolphin,Pelagic Dolphins,05/09/2013,9,2013,56.52509689,-6.771297932,F,juvenile
M292/13,Minke whale,Baleen Whales,06/09/2013,9,2013,56.04888916,-3.563698053,F,juvenile
M304/13,Minke whale,Baleen Whales,17/09/2013,9,2013,58.53313446,-4.426928043,F,juvenile
M305/13,White-beaked dolphin,Pelagic Dolphins,18/09/2013,9,2013,58.353405,-6.198058605,F,adult
M310/13,White-beaked dolphin,Pelagic Dolphins,20/09/2013,9,2013,58.61814117,-3.34969759,U,unknown
