m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M580/02,Harbour porpoise,Harbour porpoise,04/12/2002,12,2002,57.56671524,-7.461335659,F,juvenile
M585/02,Striped dolphin,Pelagic Dolphins,09/12/2002,12,2002,56.50230026,-6.802587509,U,juvenile
M590/02,Harbour porpoise,Harbour porpoise,11/12/2002,12,2002,56.33485794,-2.781172991,M,adult
M594/02,Harbour porpoise,Harbour porpoise,11/12/2002,12,2002,56.21117783,-2.73029542,F,juvenile
M604/02,Harbour porpoise,Harbour porpoise,13/12/2002,12,2002,57.25095367,-2.038078785,M,juvenile
M609/02,Striped dolphin,Pelagic Dolphins,16/12/2002,12,2002,60.13729095,-1.278031588,F,juvenile
M616/02,Harbour porpoise,Harbour porpoise,17/12/2002,12,2002,56.73905182,-2.434791803,F,juvenile
M673/02,Short-beaked common dolphin,Common Dolphin,26/12/2002,12,2002,56.96002579,-7.442868233,F,juvenile
M635/02,Atlantic white-sided dolphin,Pelagic Dolphins,28/12/2002,12,2002,56.10308456,-5.547316551,M,juvenile
M664/02,Harbour porpoise,Harbour porpoise,29/12/2002,12,2002,56.96692657,-2.203899622,U,unknown
M15/03,Harbour porpoise,Harbour porpoise,03/01/2003,1,2003,56.77239609,-2.40246129,U,unknown
M99/03,Harbour porpoise,Harbour porpoise,03/01/2003,1,2003,57.15855026,-7.304798126,F,adult
M14/03,White-beaked dolphin,Pelagic Dolphins,07/01/2003,1,2003,56.00704956,-2.893220901,F,adult
M22/03,Harbour porpoise,Harbour porpoise,07/01/2003,1,2003,56.19408035,-2.992647648,U,unknown
M16/03,Harbour porpoise,Harbour porpoise,08/01/2003,1,2003,57.14942932,-2.075985193,F,juvenile
M23/03,Harbour porpoise,Harbour porpoise,10/01/2003,1,2003,58.57657623,-4.767122746,F,juvenile
M24/03,Harbour porpoise,Harbour porpoise,10/01/2003,1,2003,57.15391922,-2.077645063,M,adult
M29/03,Harbour porpoise,Harbour porpoise,10/01/2003,1,2003,57.14494324,-2.072670221,U,unknown
M35/03,White-beaked dolphin,Pelagic Dolphins,13/01/2003,1,2003,55.98091507,-2.90384078,F,juvenile
M45/03,Harbour porpoise,Harbour porpoise,18/01/2003,1,2003,56.34113693,-2.782919645,M,adult
M63/03,Harbour porpoise,Harbour porpoise,25/01/2003,1,2003,57.13327408,-2.059441566,U,unknown
M62/03,Minke whale,Baleen Whales,28/01/2003,1,2003,58.58811951,-4.773196697,U,unknown
M85/03,Harbour porpoise,Harbour porpoise,01/02/2003,2,2003,57.51821518,-7.375460148,U,unknown
M67/03,Short-beaked common dolphin,Common Dolphin,02/02/2003,2,2003,57.3870163,-7.412845135,M,unknown
M73/03,Long-finned pilot whale,Pelagic Dolphins,05/02/2003,2,2003,58.16918182,-5.30858469,U,unknown
M81/03,Risso's dolphin,Pelagic Dolphins,07/02/2003,2,2003,59.05197144,-3.349248648,F,adult
M80/03,Sperm whale,Deep Divers,11/02/2003,2,2003,60.81512451,-0.874935865,M,adult
M82/03,Harbour porpoise,Harbour porpoise,12/02/2003,2,2003,58.95025635,-2.973290205,U,unknown
M86/03,Harbour porpoise,Harbour porpoise,17/02/2003,2,2003,57.27431488,-2.018197536,F,juvenile
M89/03,Harbour porpoise,Harbour porpoise,19/02/2003,2,2003,55.62681198,-6.219354153,F,juvenile
M191/03,Harbour porpoise,Harbour porpoise,20/02/2003,2,2003,58.96279144,-2.978855371,F,juvenile
M104/03,Harbour porpoise,Harbour porpoise,22/02/2003,2,2003,56.0095787,-3.546072006,U,unknown
M107/03,Risso's dolphin,Pelagic Dolphins,22/02/2003,2,2003,56.93331909,-7.517987251,U,unknown
M96/03,Harbour porpoise,Harbour porpoise,23/02/2003,2,2003,55.86278152,-4.980209827,F,juvenile
M112/03,Harbour porpoise,Harbour porpoise,27/02/2003,2,2003,55.49225616,-5.094666004,U,unknown
M105/03,Harbour porpoise,Harbour porpoise,01/03/2003,3,2003,57.34706497,-1.93350482,M,juvenile
M106/03,Harbour porpoise,Harbour porpoise,02/03/2003,3,2003,56.20385742,-2.888120651,U,unknown
M108/03,Harbour porpoise,Harbour porpoise,03/03/2003,3,2003,55.98523331,-4.896630287,F,juvenile
M113/03,Harbour porpoise,Harbour porpoise,05/03/2003,3,2003,56.67240143,-2.479714155,M,juvenile
M115/03,Harbour porpoise,Harbour porpoise,07/03/2003,3,2003,56.5496521,-2.608294725,M,adult
M116/03,Harbour porpoise,Harbour porpoise,07/03/2003,3,2003,57.87903214,-4.015011787,M,juvenile
M120/03,Harbour porpoise,Harbour porpoise,09/03/2003,3,2003,57.87810135,-4.016643047,F,juvenile
M118/03,Harbour porpoise,Harbour porpoise,10/03/2003,3,2003,55.84980011,-5.140624046,M,adult
M119/03,Striped dolphin,Pelagic Dolphins,10/03/2003,3,2003,57.22357941,-5.632748604,M,juvenile
M122/03,Harbour porpoise,Harbour porpoise,10/03/2003,3,2003,57.31953049,-6.107568741,M,juvenile
M123/03,Harbour porpoise,Harbour porpoise,13/03/2003,3,2003,56.77420807,-2.397564173,M,juvenile
M125/03,Sperm whale,Deep Divers,15/03/2003,3,2003,56.0606308,-2.659987688,M,adult
M126/03,Short-beaked common dolphin,Common Dolphin,16/03/2003,3,2003,57.11933136,-5.812597752,U,unknown
M128/03,Sperm whale,Deep Divers,16/03/2003,3,2003,56.03358459,-2.112292051,U,unknown
M192/03,Harbour porpoise,Harbour porpoise,16/03/2003,3,2003,58.92391968,-3.120179415,U,unknown
M130/03,Harbour porpoise,Harbour porpoise,17/03/2003,3,2003,57.34796143,-1.930166125,F,juvenile
M140/03,Harbour porpoise,Harbour porpoise,30/03/2003,3,2003,56.00963211,-3.390488386,M,juvenile
